id	offset_hex	source_japanese	chosen_translation	notes	enabled
BTL_0214	0x2091A0	チャクラ<r消費|しょうひ>／<r連打技|れんだわざ>	Uses Chakra / Mash	from filtered v13 patched row; explicit apply v17	yes
BTL_0215	0x2091D0	<r溜|た>め<r技|わざ>　<r弱|じゃく>	Charge Move Weak	from filtered v13 patched row; explicit apply v17	yes
BTL_0216	0x209200	<r溜|た>め<r技|わざ>　<r強|きょう>	Charge Move Strong	from filtered v13 patched row; explicit apply v17	yes
BTL_0217	0x209230	／<r空中可|くうちゅうか>	/ Air OK	from filtered v13 patched row; explicit apply v17	yes
BTL_0218	0x209250	／<r通常奥義|つうじょうおうぎ>	/ Normal Ultimate	from filtered v13 patched row; explicit apply v17	yes
BTL_0219	0x209270	／<r逆転奥義|ぎゃくてんおうぎ>	/ Comeback Ultimate	from filtered v13 patched row; explicit apply v17	yes
BTL_0220	0x209290	／<r覚醒奥義|かくせいおうぎ>	/ Awakening Ultimate	from filtered v13 patched row; explicit apply v17	yes
BTL_0221	0x2092B0	／<r連係奥義|れんけいおうぎ>	/ Team Ultimate	from filtered v13 patched row; explicit apply v17	yes
BTL_0222	0x209330	（ジャンプ<r中|ちゅう>）	(During Jump)	from filtered v13 patched row; explicit apply v17	yes
BTL_0223	0x209350	（<r相手|あいて>の<r前|まえ>で）	(In front of opponent)	from filtered v13 patched row; explicit apply v17	yes
BTL_0224	0x209380	<r後側方向|うしろがわほうこう>キー	Back Direction Key	from filtered v13 patched row; explicit apply v17	yes
BTL_0225	0x2093B0	（<r相手|あいて>の<r攻撃|こうげき>の<r当|あ>たる<r瞬間|しゅんかん>）	(As the opponent attack hits)	from filtered v13 patched row; explicit apply v17	yes
BTL_0226	0x209400	（<r投|な>げられた<r時|とき>、<r叩|たた>き<r付|つ>けられる<r瞬間|しゅんかん>）	(When thrown, as you hit the ground)	from filtered v13 patched row; explicit apply v17	yes
BTL_0227	0x209450	（<r吹|ふ>っ<r飛|と>ばした<r方向|ほうこう>の<r方向|ほうこう>キー）	(Direction the enemy was launched)	from filtered v13 patched row; explicit apply v17	yes
BTL_0228	0x2094A0	（<r相手|あいて>の<r追|お>い<r討|う>ち<r攻撃|こうげき>が<r当|あ>たる<r瞬間|しゅんかん>）	(As the enemy pursuit attack hits)	from filtered v13 patched row; explicit apply v17	yes
BTL_0229	0x209500	（しばらく<r押|お>す）	(Hold briefly)	from filtered v13 patched row; explicit apply v17	yes
BTL_0230	0x209520	（<r地上|ちじょう>で）	(On the ground)	from filtered v13 patched row; explicit apply v17	yes
BTL_0231	0x209540	（<r高速移動|こうそくいどう>の<r相殺中|そうさいちゅう>や<r攻撃|こうげき>の<r相殺中|そうさいちゅう>）	(During high-speed move clash or attack clash)	from filtered v13 patched row; explicit apply v17	yes
BTL_0232	0x2095B0	（マニュアル：<r出現後|しゅつげんご>もう<r一度|いちど><r押|お>すと<r攻撃|こうげき>）	(Manual: press again after it appears to attack)	from filtered v13 patched row; explicit apply v17	yes
BTL_0233	0x209650	<r連係攻撃|れんけいこうげき>	Team Attack	from filtered v13 patched row; explicit apply v17	yes
BTL_0234	0x209670	アイテム<r選択|せんたく>	Item Select	from filtered v13 patched row; explicit apply v17	yes
BTL_0235	0x209690	アイテム<r使用|しよう>	Use Item	from filtered v13 patched row; explicit apply v17	yes
BTL_0236	0x2096A8	ジャンプ	Jump	from filtered v13 patched row; explicit apply v17	yes
BTL_0237	0x2096C0	<r二段|にだん>ジャンプ	Double Jump	from filtered v13 patched row; explicit apply v17	yes
BTL_0238	0x2096E0	<r高速移動|こうそくいどう>	High-Speed Move	from filtered v13 patched row; explicit apply v17	yes
BTL_0239	0x209700	<r飛|と>び<r退|の>き	Backstep	from filtered v13 patched row; explicit apply v17	yes
BTL_0240	0x209720	<r変|か>わり<r身|み>の<r術|じゅつ>（チャクラ<r消費|しょうひ>）	Substitution Jutsu (uses Chakra)	from filtered v13 patched row; explicit apply v17	yes
BTL_0241	0x209760	<r受|う>け<r身|み>	Recovery	from filtered v13 patched row; explicit apply v17	yes
BTL_0242	0x209780	<r追|お>い<r討|う>ち	Pursuit	from filtered v13 patched row; explicit apply v17	yes
BTL_0243	0x2097A0	<r追|お>い<r討|う>ち<r返|がえ>し	Pursuit Counter	from filtered v13 patched row; explicit apply v17	yes
BTL_0244	0x2097D0	チャクラをためる	Charge Chakra	from filtered v13 patched row; explicit apply v17	yes
BTL_0245	0x2097F0	<r挑発|ちょうはつ>	Taunt	from filtered v13 patched row; explicit apply v17	yes
BTL_0246	0x209810	<r奥|おく>へ<r軸移動|じくいどう>	Axis Step Back	from filtered v13 patched row; explicit apply v17	yes
BTL_0247	0x209840	<r手前|てまえ>へ<r軸移動|じくいどう>	Axis Step Forward	from filtered v13 patched row; explicit apply v17	yes
BTL_0248	0x209870	ガード<r崩|くず>し	Guard Break	from filtered v13 patched row; explicit apply v17	yes
BTL_0249	0x209890	<r残影追|ざんえいお>い<r討|う>ち	Afterimage Pursuit	from filtered v13 patched row; explicit apply v17	yes
BTL_0250	0x209C80	やさしい	Easy	from filtered v13 patched row; explicit apply v17	yes
BTL_0251	0x209C90	むずかしい	Hard	from filtered v13 patched row; explicit apply v17	yes
BTL_0253	0x209CE0	ランダム	Random	from filtered v13 patched row; explicit apply v17	yes
BTL_0254	0x209CF0	コマンド	Command	from filtered v13 patched row; explicit apply v17	yes
BTL_0255	0x209D00	タイミング	Timing	from filtered v13 patched row; explicit apply v17	yes
BTL_0256	0x209D28	ギリギリ	Critical	from filtered v13 patched row; explicit apply v17	yes
BTL_0257	0x209D48	マニュアル	Manual	from filtered v13 patched row; explicit apply v17	yes
BTL_0258	0x209D58	ジャンプ	Jump	from filtered v13 patched row; explicit apply v17	yes
BTL_0259	0x209D68	二段ジャンプ	Double Jump	from filtered v13 patched row; explicit apply v17	yes
BTL_0264	0x209E00	使用しない	Do Not Use	from filtered v13 patched row; explicit apply v17	yes
BTL_0265	0x209E20	「<r使用不可|しようふか>」は、<r奥義|おうぎ>が<r使|つか>えなくなるので<r注意|ちゅうい>してください。	"When set to ""Unavailable"", Ultimates cannot be used."	from filtered v13 patched row; explicit apply v17	yes
BTL_0266	0x209E90	「ランダム」にすると<r入力勝負|にゅうりょくしょうぶ>の<r方法|ほうほう>が<r毎回変化|まいかいへんか>します。	"When set to ""Random"", the input battle changes each time."	from filtered v13 patched row; explicit apply v17	yes
BTL_0267	0x209F00	「コマンド」にするとボタンの<r入力勝負|にゅうりょくしょうぶ>になります。	"When set to ""Command"", it becomes a button input battle."	from filtered v13 patched row; explicit apply v17	yes
BTL_0268	0x209F50	「タイミング」にするとボタンをタイミング<r良|よ>く<r押|お>す<r勝負|しょうぶ>になります。	"When set to ""Timing"", it becomes a contest of pressing the button with good timing."	from filtered v13 patched row; explicit apply v17	yes
BTL_0269	0x209FB0	「<r回転|かいてん>」にすると<r左|ひだり>スティック、もしくは<r右|みぎ>スティックの<r回転数勝負|かいてんすうしょうぶ>になります。	"When set to ""Rotate"", it becomes a contest of rotating the left or right stick."	from filtered v13 patched row; explicit apply v17	yes
BTL_0270	0x20A040	「<r連打|れんだ>」にするとボタンの<r連打勝負|れんだしょうぶ>になります。	"When set to ""Mash"", it becomes a button-mashing contest."	from filtered v13 patched row; explicit apply v17	yes
BTL_0271	0x20A0B0	「<r通常|つうじょう>」にすると<r一定時間|いっていじかん>で<r体力|たいりょく>が<r全回復|ぜんかいふく>します。	"When set to ""Normal"", health fully recovers after a set time."	from filtered v13 patched row; explicit apply v17	yes
BTL_0272	0x20A120	「<r半分|はんぶん>」にすると<r一定時間|いっていじかん>で<r体力|たいりょく>が<r半分|はんぶん>まで<r回復|かいふく>します。	"When set to ""Half"", health recovers up to half after a set time."	from filtered v13 patched row; explicit apply v17	yes
BTL_0273	0x20A1A0	「ギリギリ」にすると<r常|つね>に<r体力|たいりょく>がギリギリの<r状態|じょうたい>になります。	"When set to ""Critical"", health always stays barely above zero."	from filtered v13 patched row; explicit apply v17	yes
BTL_0275	0x20A220	アイテム出現	Item Spawn	from filtered v13 patched row; explicit apply v17	yes
BTL_0276	0x20A230	チャクラ	 Q	from filtered v13 patched row; explicit apply v17	yes
BTL_0277	0x20A240	ハンディキャップ	Handicap	from filtered v13 patched row; explicit apply v17	yes
BTL_0278	0x20A280	<r方向|ほうこう>キー<r左右|さゆう>で<r対戦時間|たいせんじかん>の<r変更|へんこう>ができます。	Press Left/Right to change battle time.	from filtered v13 patched row; explicit apply v17	yes
BTL_0279	0x20A2E0	<r方向|ほうこう>キー<r左右|さゆう>でＣＯＭの<r強|つよ>さを<r変更|へんこう>できます。	Press Left/Right to change COM strength.	from filtered v13 patched row; explicit apply v17	yes
BTL_0280	0x20A340	<r方向|ほうこう>キー<r左右|さゆう>でアイテムの<r出現率|しゅつげんりつ>が<r変更|へんこう>できます。　　　　　<r多|おお>めにすると、いつもよりゲーム<r中|ちゅう>に<r出現|しゅつげん>するアイテムの<r数|かず>が<r多|おお>くなります。	Press Left/Right to change item spawn rate. Higher settings make more items appear during battle.	from filtered v13 patched row; explicit apply v17	yes
BTL_0281	0x20A430	<r方向|ほうこう>キー<r左右|さゆう>で<r忍術|にんじゅつ>などを<r使用|しよう>した<r時|とき>に、チャクラが<r減|へ>るか<r減|へ>らないかを<r設定|せってい>できます。	Press Left/Right to set whether Chakra decreases when using Ninjutsu and similar actions.	from filtered v13 patched row; explicit apply v17	yes
BTL_0282	0x20A4D0	<r方向|ほうこう>キー<r左右|さゆう>で<r奥義|おうぎ>の<r入力勝負|にゅうりょくしょうぶ>の<r切|き>り<r替|か>えなどが<r設定|せってい>できます。	Press Left/Right to switch Ultimate input battle settings.	from filtered v13 patched row; explicit apply v17	yes
BTL_0283	0x20A560	<r方向|ほうこう>キー<r左右|さゆう>でハンディキャップの<r設定|せってい>ができます。　　　　　<r赤|あか>いマークが<r多|おお>いほど、１Ｐが<r有利|ゆうり>。<r逆|ぎゃく>に<r青|あお>いマークが<r多|おお>いと２Ｐが<r有利|ゆうり>な<r設定|せってい>です。	Press Left/Right to set the handicap. More red marks favor 1P; more blue marks favor 2P.	from filtered v13 patched row; explicit apply v17	yes
BTL_0284	0x20A680	<r対戦設定|たいせんせってい>をデフォルトに<r戻|もど>しました。	Battle settings restored to default.	from filtered v13 patched row; explicit apply v17	yes
BTL_0286	0x20A758	連係モード	Team Mode	from filtered v13 patched row; explicit apply v17	yes
BTL_0288	0x20A778	ダメージ量表示	Damage Display	from filtered v13 patched row; explicit apply v17	yes
BTL_0290	0x20A798	変わり身の術	Substitution	from filtered v13 patched row; explicit apply v17	yes
BTL_0292	0x20A810	<r方向|ほうこう>キー<r左右|さゆう>でプレイヤーの<r体力|たいりょく>の<r状態|じょうたい>を<r設定|せってい>することができます。	Press Left/Right to set the player health state.	from filtered v13 patched row; explicit apply v17	yes
BTL_0293	0x20A890	<r方向|ほうこう>キー<r左右|さゆう>でチャクラが<r減|へ>るか<r減|へ>らないかを<r設定|せってい>できます。	Press Left/Right to set whether Chakra decreases.	from filtered v13 patched row; explicit apply v17	yes
BTL_0294	0x20A900	<r方向|ほうこう>キー<r左右|さゆう>でプレイヤーの<r連係|れんけい>ゲージの<r溜|た>まり<r方|かた>を<r設定|せってい>することができます。	Press Left/Right to set how the player Team Gauge fills.	from filtered v13 patched row; explicit apply v17	yes
BTL_0295	0x20A990	<r方向|ほうこう>キー<r左右|さゆう>で<r連係|れんけい>の<r発動|はつどう>の<r仕方|しかた>を<r設定|せってい>することができます。	Press Left/Right to set how Team Attacks are activated.	from filtered v13 patched row; explicit apply v17	yes
BTL_0296	0x20AA10	<r方向|ほうこう>キー<r左右|さゆう>でアイテムの<r出現頻度|しゅつげんひんど>を<r設定|せってい>できます。	Press Left/Right to set item spawn frequency.	from filtered v13 patched row; explicit apply v17	yes
BTL_0297	0x20AA80	<r方向|ほうこう>キー<r左右|さゆう>でコマンドの<r表示|ひょうじ>をするか、しないかの<r設定|せってい>ができます。	Press Left/Right to show or hide the command display.	from filtered v13 patched row; explicit apply v17	yes
BTL_0298	0x20AAF0	<r方向|ほうこう>キー<r左右|さゆう>で<r相手|あいて>に<r対|たい>するダメージ<r量|りょう>の<r表示|ひょうじ>をするか、しないかの<r設定|せってい>ができます。	Press Left/Right to show or hide damage dealt to the opponent.	from filtered v13 patched row; explicit apply v17	yes
BTL_0299	0x20AB90	<r方向|ほうこう>キー<r左右|さゆう>でプラクティス<r中|ちゅう>の<r案内忍音声|あんないにんおんせい>の<r設定|せってい>をすることができます。	Press Left/Right to set the Practice guide ninja voice.	from filtered v13 patched row; explicit apply v17	yes
BTL_0300	0x20AC20	<r状態|じょうたい>が「ＣＯＭ」に<r設定|せってい>されている<r時|とき>の<r強|つよ>さを<r指定|してい>できます。	Set the strength used when State is set to COM.	from filtered v13 patched row; explicit apply v17	yes
BTL_0301	0x20AC90	<r状態|じょうたい>が「<r立|た>ち・ジャンプ・<r二段|にだん>ジャンプ」に<r設定|せってい>されている<r時|とき>の<r攻撃|こうげき>パターンを<r指定|してい>できます。	Set the attack pattern used when State is Stand, Jump, or Double Jump.	from filtered v13 patched row; explicit apply v17	yes
BTL_0302	0x20AD30	<r状態|じょうたい>が「<r立|た>ち・ジャンプ・<r二段|にだん>ジャンプ」に<r設定|せってい>されている<r時|とき>のガードパターンを<r指定|してい>できます。	Set the guard pattern used when State is Stand, Jump, or Double Jump.	from filtered v13 patched row; explicit apply v17	yes
BTL_0303	0x20ADD0	<r状態|じょうたい>が「<r立|た>ち・ジャンプ・<r二段|にだん>ジャンプ」に<r設定|せってい>されている<r時|とき>の<r行動|こうどう>パターンを<r指定|してい>できます。	Set the behavior pattern used when State is Stand, Jump, or Double Jump.	from filtered v13 patched row; explicit apply v17	yes
BTL_0304	0x20AE70	<r状態|じょうたい>が「ＣＯＭ」に<r設定|せってい>されている<r時|とき>の<r変|か>わり<r身|み>の<r術|じゅつ>の<r使用頻度|しようひんど>を<r指定|してい>できます。	Set Substitution Jutsu frequency when State is COM.	from filtered v13 patched row; explicit apply v17	yes
BTL_0305	0x20AF10	<r状態|じょうたい>が「<r手動|しゅどう>」<r以外|いがい>に<r設定|せってい>されている<r時|とき>の<r連係攻撃|れんけいこうげき>の<r使用頻度|しようひんど>を<r指定|してい>できます。	Set Team Attack frequency when State is not Manual.	from filtered v13 patched row; explicit apply v17	yes
BTL_0306	0x20AFC0	<r状態|じょうたい>が「<r手動|しゅどう>」<r以外|いがい>に<r設定|せってい>されている<r時|とき>の<r追|お>い<r討|う>ち<r返|がえ>しの<r頻度|ひんど>を<r指定|してい>できます。	Set Pursuit Counter frequency when State is not Manual.	from filtered v13 patched row; explicit apply v17	yes
BTL_0307	0x20B0C0	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。<r手動|しゅどう>では、<r別|べつ>のコントローラで<r操作|そうさ>する<r事|こと>ができます。	Set the opponent state. In Manual, they can be controlled with another controller.	from filtered v13 patched row; explicit apply v17	yes
BTL_0308	0x20B170	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。ＣＯＭでは、コンピュータと<r対戦|たいせん>する<r事|こと>ができます。	Set the opponent state. In COM, you can fight the computer.	from filtered v13 patched row; explicit apply v17	yes
BTL_0309	0x20B210	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。<r立|た>ちでは、<r立|た>った<r状態|じょうたい>で<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。	Set the opponent state. In Stand, they stand and use the actions set below.	from filtered v13 patched row; explicit apply v17	yes
BTL_0310	0x20B2D0	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。ジャンプでは、ジャンプしながら<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。	Set the opponent state. In Jump, they jump and use the actions set below.	from filtered v13 patched row; explicit apply v17	yes
BTL_0311	0x20B380	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。<r二段|にだん>ジャンプでは、<r二段|にだん>ジャンプしながら<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。	Set the opponent state. In Double Jump, they double-jump and use the actions set below.	from filtered v13 patched row; explicit apply v17	yes
BTL_0313	0x20B4D0	<r練習設定|れんしゅうせってい>をデフォルトに<r戻|もど>しました。	Practice settings restored to default.	from filtered v13 patched row; explicit apply v17	yes
